Capital,Latitude,Longitude
Kabul,34.53,69.17
Tirana,41.33,19.82
Algiers,36.75,3.04
Pago Pago,-14.28,-170.7
Andorra la Vella,42.51,1.52
Luanda,-8.84,13.23
The Valley,18.22,-63.06
St. John's,17.12,-61.85
Buenos Aires,-34.61,-58.38
Yerevan,40.18,44.51
Oranjestad,12.52,-70.03
Canberra,-35.28,149.13
Vienna,48.21,16.37
Baku,40.38,49.89
Nassau,25.06,-77.34
Manama,26.22,50.58
Dhaka,23.71,90.41
Bridgetown,13.1,-59.62
Minsk,53.9,27.57
Brussels,50.85,4.35
Belmopan,17.25,-88.77
Porto-Novo,6.5,2.6
Hamilton,32.29,-64.78
Thimphu,27.47,89.64
Sucre,-19.03,-65.26
Sarajevo,43.85,18.36
Gaborone,-24.65,25.91
Brasília,-15.78,-47.93
Diego Garcia,72.46,7.24
Road Town,18.42,-64.62
Bandar Seri Begawan,4.94,114.95
Sofia,42.7,23.32
Ouagadougou,12.37,-1.53
Bujumbura,-3.38,29.36
Phnom Penh,11.56,104.92
Yaoundé,3.87,11.52
Ottawa,45.41,-75.7
Praia,14.93,-23.51
George Town,19.29,-81.37
Bangui,4.36,18.55
N'Djamena,12.11,15.04
Santiago,-33.46,-70.65
Beijing,39.91,116.4
The Settlement,-10.42,105.68
West Island,-12.16,96.82
Bogotá,4.61,-74.08
Moroni,-11.7,43.26
Avarua,-21.21,-159.78
San José,9.93,-84.08
Zagreb,45.81,15.98
Havana,23.13,-82.38
Nicosia,35.17,33.37
Prague,50.09,14.42
Kinshasa,-4.32,15.31
Copenhagen,55.68,12.57
Djibouti,11.59,43.15
Roseau,15.3,-61.39
Santo Domingo,18.5,-69.99
Dili,-8.56,125.57
Quito,-0.23,-78.52
Cairo,30.06,31.25
San Salvador,13.69,-89.19
Malabo,3.75,8.78
Asmara,15.33,38.93
Tallinn,59.44,24.75
Addis Ababa,9.02,38.75
Stanley,-51.7,-57.85
Tórshavn,62.01,-6.77
Suva,-18.14,178.44
Helsinki,60.17,24.94
Paris,48.85,2.35
Cayenne,4.93,-52.33
Papeete,-17.53,-149.57
Libreville,0.39,9.45
Banjul,13.45,-16.58
Tbilisi,41.69,44.83
Berlin,52.52,13.41
Accra,5.56,-0.2
Gibraltar,36.14,-5.35
Athens,37.98,23.72
Nuuk (Godthåb),64.18,-51.72
St. George's,12.06,-61.75
Basse-Terre,16,-61.73
Hagåtña,13.48,144.75
New Guatemala,14.64,-90.51
St Peter Port,49.46,-2.54
Conakry,9.54,-13.68
Bissau,11.86,-15.6
Georgetown,6.8,-58.16
Port-au-Prince,18.54,-72.34
Tegucigalpa,14.08,-87.21
Hong Kong,22.29,114.16
Budapest,47.5,19.04
Reykjavík,64.14,-21.9
New Delhi,28.64,77.22
Jakarta,-6.21,106.85
Tehran,35.69,51.42
Baghdad,33.34,44.4
Dublin,53.33,-6.25
Douglas,54.15,-4.48
Jerusalem,35.23,31.77
Rome,41.89,12.48
Yamoussoukro,6.82,-5.28
Kingston,18,-76.79
Edo,35.69,139.69
Saint Helier,49.19,-2.1
Amman,31.96,35.95
Astana,51.18,71.45
Nairobi,-1.28,36.82
South Tarawa,1.33,172.98
Pristina,42.67,21.17
Kuwait City,29.37,47.98
Bishkek,42.87,74.59
Vientiane,17.97,102.6
Riga,56.95,24.11
Beirut,33.89,35.49
Maseru,-29.32,27.48
Monrovia,6.3,-10.8
Tripoli,32.88,13.19
Vaduz,47.14,9.52
Vilnius,54.69,25.28
Luxembourg,49.61,6.13
Macao,22.2,113.55
Skopje,42,21.43
Antananarivo,-18.91,47.54
Lilongwe,-13.97,33.79
Kuala Lumpur,3.14,101.69
Malé,4.17,73.51
Bamako,12.65,-8
Valletta,35.9,14.51
Majuro,7.09,171.38
Fort-de-France,14.61,-61.07
Nouakchott,18.09,-15.98
Port Louis,-20.16,57.5
Mamoutzou,-12.78,45.23
Mexico City,19.43,-99.13
Palikir,6.92,158.16
Chişinău,47.01,28.86
Monaco,43.73,7.42
Ulan Bator,47.91,106.88
Podgorica,42.44,19.26
Plymouth,16.71,-62.21
Rabat,34.01,-6.83
Maputo,-25.97,32.58
Nay Pyi Taw,19.75,96.13
Windhoek,-22.56,17.08
Yaren,166.93,-0.54
Kathmandu,27.7,85.32
Amsterdam,52.37,4.89
Willemstad,-68.92,12.1
Noumea,-22.28,166.46
Wellington,-41.29,174.78
Managua,12.13,-86.25
Niamey,13.51,2.11
Abuja,9.07,7.48
Alofi,-19.06,-169.92
Kingston,-29.05,167.97
Pyongyang,39.03,125.75
Saipan,15.21,145.75
Oslo,59.91,10.75
