Country,Region,Lat,Long,Cases,Deaths,Month WHO Reported*,Day WHO Reported*,Date
Guinea,SE,8.843,-9.782,49,29,3,23,3-23-2014
Guinea,SE,8.843,-9.782,86,59,3,24,3-24-2014
Guinea,SE,8.843,-9.782,86,60,3,25,3-25-2014
Guinea,SE,8.843,-9.782,86,62,3,26,3-26-2014
Guinea,SE,8.843,-9.782,103,66,3,27,3-27-2014
Guinea,Guekedo,8.565,-10.133,8,0,3,27,3-27-2014
Guinea,Macenta,8.55,-9.467,2,0,3,27,3-27-2014
Guinea,Conakry,9.51,-13.712,5,1,3,27,3-27-2014
Guinea,SE,8.565,-10.133,112,70,3,28,3-28-2014
Guinea,Dabola,10.75,-11.117,1,,3,28,3-28-2014
Guinea,Guekedo,8.565,-10.133,12,,3,28,3-28-2014
Guinea,Macenta,8.55,-9.467,7,,3,28,3-28-2014
Guinea,Conakry,9.51,-13.712,11,,3,28,3-28-2014
Liberia,Foya,8.179,-9.722,7,2,3,29,3-29-2014
Guinea,SE,8.565,-10.133,122,80,3,31,3-31-2014
Guinea,Dabola,10.75,-11.117,3,,3,31,3-31-2014
Guinea,Guekedo,8.565,-10.133,77,,3,31,3-31-2014
Guinea,Macenta,8.55,-9.467,23,,3,31,3-31-2014
Guinea,Conakry,9.51,-13.712,11,,3,31,3-31-2014
Guinea,Kissidougou,9.183,-10.1,8,,3,31,3-31-2014
Liberia,Foya,8.179,-9.722,8,2,3,31,3-31-2014
Guinea,SE,8.565,-10.133,127,83,4,1,4-1-2014
Guinea,Dabola,10.75,-11.117,4,3,4,1,4-1-2014
Guinea,Guekedo,8.565,-10.133,79,57,4,1,4-1-2014
Guinea,Macenta,8.55,-9.467,23,14,4,1,4-1-2014
Guinea,Conakry,9.51,-13.712,12,4,4,1,4-1-2014
Guinea,Kissidougou,9.183,-10.1,9,5,4,1,4-1-2014
Liberia,Foya,8.179,-9.722,8,5,4,1,4-1-2014
Guinea,SE,8.565,-10.133,143,86,4,5,4-5-2014
Guinea,Dabola,10.75,-11.117,4,3,4,5,4-5-2014
Guinea,Guekedo,8.565,-10.133,85,59,4,5,4-5-2014
Guinea,Macenta,8.55,-9.467,27,14,4,5,4-5-2014
Guinea,Conakry,9.51,-13.712,18,5,4,5,4-5-2014
Guinea,Kissidougou,9.183,-10.1,9,5,4,5,4-5-2014
Liberia,NW,8.179,-9.722,13,7,4,5,4-5-2014
Liberia,Nimba,6.842,-8.66,1,1,4,5,4-5-2014
Guinea,SE,8.565,-10.133,151,95,4,7,4-7-2014
